frame,score,psr,ess,cx,cy,w,h
387,0.970377,6.2736,500.0,370.238,139.826,11.182,11.429
388,0.977321,6.3735,500.0,371.365,141.039,11.186,11.504
389,0.971019,6.5794,500.0,372.069,142.603,10.939,11.37
390,0.980895,6.3817,500.0,372.615,144.439,10.663,11.454
391,0.986548,6.4053,500.0,372.928,144.889,10.51,11.44
392,0.957337,6.7891,500.0,371.223,147.295,10.642,11.487
393,0.986883,6.247,500.0,368.709,147.122,10.612,11.273
394,0.97702,6.7534,500.0,368.106,148.472,10.363,11.28
395,0.982271,6.2489,500.0,367.914,149.772,10.528,11.31
396,0.99001,5.9592,500.0,366.65,149.483,10.605,11.494
397,0.984876,5.9127,500.0,363.567,148.394,10.665,11.357
398,0.93516,6.195,500.0,359.218,147.414,10.293,11.376
399,0.988136,5.8321,500.0,355.685,147.337,10.399,11.258
400,0.990698,5.7099,500.0,353.431,147.226,10.089,11.328
401,0.994413,5.7822,500.0,352.597,147.348,10.061,11.315
402,0.990883,6.1155,500.0,351.767,147.472,10.0,11.161
403,0.971635,6.7766,500.0,350.785,147.027,10.179,11.462
404,0.962963,5.7791,500.0,347.757,147.734,10.0,11.338
405,0.984323,6.7578,500.0,346.011,147.248,10.131,11.343
406,0.994639,5.7205,500.0,346.732,147.929,10.332,11.432
407,0.987945,6.2459,500.0,348.572,147.856,10.317,11.648
408,0.980883,6.1269,500.0,350.033,148.096,10.309,11.717
409,0.966952,6.684,500.0,351.242,147.314,10.24,11.757
410,0.987806,5.6047,500.0,352.975,146.3,10.341,11.923
411,0.95488,6.9553,500.0,355.296,146.284,10.434,12.117
412,0.953665,6.9717,500.0,358.659,146.219,11.181,12.335
413,0.980032,6.4405,500.0,360.759,145.356,11.101,12.53
414,0.963204,7.0999,500.0,361.506,145.576,11.1,12.609
415,0.905975,7.5406,500.0,362.283,146.305,11.124,12.644
416,0.981868,6.2102,500.0,362.969,145.445,11.112,12.537
417,0.978331,6.8251,500.0,364.75,144.977,11.16,12.492
418,0.974019,7.3983,500.0,365.208,144.075,10.809,12.666
419,0.912465,9.3505,500.0,365.302,142.973,10.22,12.244
420,0.962864,7.8552,500.0,366.012,142.779,10.0,12.002
421,0.982981,6.8572,500.0,365.883,143.188,10.0,11.946
422,0.976127,7.0553,500.0,367.065,142.409,10.0,12.124
423,0.969199,7.7559,500.0,366.221,142.433,10.0,12.211
424,0.955437,6.9682,500.0,365.493,143.875,10.0,12.955
425,0.991791,6.033,500.0,365.111,143.001,10.0,12.948
426,0.952071,6.9853,500.0,363.653,142.592,10.0,12.575
427,0.986675,6.072,500.0,363.327,142.193,10.0,12.557
428,0.98767,6.3595,500.0,363.964,141.954,10.0,12.738
429,0.973086,6.3954,500.0,363.866,141.771,10.005,12.752
430,0.964979,5.8268,500.0,362.608,142.408,10.0,12.554
431,0.964656,5.9026,500.0,362.374,141.249,10.0,12.59
432,0.961821,6.1719,500.0,363.077,140.853,10.0,13.005
433,0.947704,5.7171,500.0,360.838,142.697,10.0,14.175
434,0.976178,6.4878,500.0,361.074,141.933,10.0,15.054
