frame,score,psr,ess,cx,cy,w,h
326,0.211723,7.8757,500.0,381.177,129.817,16.015,14.972
327,0.541933,9.5267,500.0,387.405,132.849,14.757,15.869
328,0.491874,6.5228,500.0,391.194,135.087,13.68,16.51
329,0.321553,7.574,289.4,392.858,134.691,13.098,17.078
330,0.855913,8.562,500.0,389.979,131.316,13.981,16.21
331,0.85811,6.4301,500.0,381.573,127.323,13.722,15.536
332,0.960373,6.1074,500.0,380.215,126.603,13.561,15.067
333,0.953482,6.6215,500.0,379.607,126.379,13.528,14.795
334,0.926211,6.7525,500.0,378.917,126.579,13.22,14.373
335,0.938899,7.006,500.0,378.793,125.48,12.933,14.015
336,0.95225,6.6016,500.0,377.056,125.722,12.741,13.83
337,0.981974,5.7304,500.0,374.066,125.41,12.708,13.738
338,0.993124,5.3691,500.0,370.503,125.312,12.505,13.423
339,0.960913,5.7133,500.0,365.705,125.103,12.742,13.157
340,0.985322,5.2743,500.0,362.213,124.897,12.938,12.931
341,0.990557,5.9422,500.0,359.514,125.734,13.259,12.981
342,0.990379,5.7127,500.0,357.061,125.191,13.638,13.152
343,0.993543,5.9308,500.0,355.248,124.561,13.802,13.281
344,0.992505,5.864,500.0,354.258,124.608,13.711,13.077
345,0.99384,5.9777,500.0,354.322,124.795,13.391,13.065
346,0.994967,5.7264,500.0,354.396,124.95,13.314,12.988
347,0.994664,5.9459,500.0,354.565,125.721,13.34,13.134
348,0.986277,5.7471,500.0,353.436,125.907,13.5,13.016
349,0.991261,5.9109,500.0,354.851,126.375,13.669,13.086
350,0.992392,5.7094,500.0,356.336,126.427,13.804,13.17
351,0.995061,5.6521,500.0,357.097,126.33,13.622,13.108
352,0.978794,6.5114,500.0,358.608,126.529,13.82,12.941
353,0.984906,6.1432,500.0,361.156,126.853,13.836,13.043
354,0.985515,6.2303,500.0,362.983,126.865,13.847,13.041
355,0.986695,5.9435,500.0,364.894,127.079,13.75,13.022
356,0.989014,6.1844,500.0,365.206,126.239,13.641,13.002
357,0.975861,6.751,500.0,365.841,125.865,12.754,12.751
358,0.979736,6.6284,500.0,365.238,125.352,12.653,12.756
359,0.982294,6.1426,500.0,365.397,126.447,12.439,12.756
360,0.977623,6.5331,500.0,366.498,126.265,12.829,12.891
361,0.954134,7.1529,500.0,367.281,126.575,13.573,13.207
362,0.976603,6.1577,500.0,366.838,126.092,13.358,13.185
363,0.976893,6.3516,500.0,366.897,125.508,13.228,13.185
364,0.975959,6.8859,500.0,366.599,125.161,12.852,13.099
365,0.971275,6.8823,500.0,366.732,125.267,12.619,13.084
366,0.987783,6.6348,500.0,367.446,125.436,12.351,12.8
367,0.985338,6.0952,500.0,367.47,125.137,11.703,12.538
368,0.993282,5.916,500.0,367.731,125.201,11.245,12.132
369,0.987481,6.211,500.0,366.945,125.628,11.085,12.036
370,0.984015,5.8797,500.0,366.531,125.719,10.819,11.992
371,0.972179,5.8777,500.0,365.241,126.182,10.943,12.056
372,0.982201,5.7957,500.0,364.263,125.092,11.074,11.808
373,0.986682,5.3079,500.0,365.631,124.92,11.074,11.84
374,0.984441,5.8752,500.0,366.821,125.166,11.08,11.765
375,0.971474,5.9422,500.0,367.663,124.338,11.831,11.8
376,0.978808,5.864,500.0,367.441,125.187,12.041,11.856
377,0.97404,6.1489,500.0,367.374,124.717,12.065,11.863
378,0.972266,6.3071,500.0,367.628,125.118,11.872,11.989
379,0.980022,6.6486,500.0,367.526,125.044,11.657,11.796
380,0.976821,6.4626,500.0,367.483,125.563,11.458,11.636
381,0.944118,7.1719,500.0,368.329,127.42,12.037,11.725
382,0.974882,6.6955,500.0,369.052,128.589,11.66,11.711
383,0.9428,7.1893,500.0,369.585,129.468,11.45,11.64
384,0.980089,5.9702,500.0,370.232,131.948,11.131,11.407
385,0.795098,7.2248,500.0,370.308,134.63,10.988,11.365
386,0.942304,6.7084,500.0,369.807,136.786,11.07,11.354
387,0.962731,6.2352,500.0,369.723,138.893,11.019,11.416
388,0.979549,6.039,500.0,370.38,141.3,10.987,11.482
389,0.964209,6.3488,500.0,372.223,142.695,10.762,11.484
390,0.976605,6.1586,500.0,372.86,144.368,10.511,11.469
391,0.983842,6.3186,500.0,373.159,145.344,10.378,11.406
392,0.924313,7.2299,500.0,370.722,146.833,11.201,11.656
393,0.99065,5.9873,500.0,369.024,148.175,10.828,11.329
394,0.97288,6.9291,500.0,367.501,148.57,10.757,11.402
395,0.971693,6.7045,500.0,367.8,149.434,10.881,11.619
396,0.988536,5.9329,500.0,366.004,149.405,10.841,11.663
397,0.973874,5.7501,500.0,362.865,149.094,10.734,11.389
398,0.973426,5.6978,500.0,359.491,147.269,10.676,11.457
399,0.97089,6.0907,500.0,355.946,146.408,10.523,11.38
400,0.992935,5.7476,500.0,353.777,147.268,10.398,11.418
401,0.993748,5.9392,500.0,352.429,146.975,10.418,11.528
402,0.992327,6.1076,500.0,351.811,147.289,10.33,11.375
403,0.961907,6.9709,500.0,350.425,146.832,10.492,11.601
404,0.966813,6.0396,500.0,347.734,147.91,10.275,11.387
405,0.979789,6.7493,500.0,346.446,146.917,10.344,11.383
406,0.995044,5.8936,500.0,346.979,147.785,10.316,11.493
407,0.985842,6.1503,500.0,348.814,147.834,10.28,11.634
408,0.980297,6.0404,500.0,350.317,147.959,10.247,11.652
409,0.966669,6.4337,500.0,351.543,148.287,10.238,11.742
410,0.959885,6.0831,500.0,352.949,146.709,10.221,11.906
411,0.967784,6.361,500.0,355.756,146.677,11.069,12.12
412,0.96812,6.8418,500.0,357.991,145.804,11.2,12.199
413,0.971046,6.0898,500.0,360.931,145.159,11.099,12.335
414,0.955431,6.9854,500.0,361.431,145.351,11.044,12.391
415,0.890739,8.0269,500.0,362.462,145.834,11.087,12.344
416,0.949408,6.4218,500.0,363.945,144.94,11.114,12.354
417,0.962982,6.4193,500.0,364.786,144.279,11.016,12.356
418,0.959602,7.4762,500.0,365.202,144.459,10.586,12.367
419,0.890532,8.7421,500.0,365.27,143.117,10.237,12.089
420,0.956847,7.7746,500.0,365.794,142.692,10.0,11.83
421,0.980033,6.8145,500.0,366.215,143.01,10.0,11.788
422,0.976154,7.3242,500.0,365.969,142.663,10.0,11.798
423,0.966763,7.8017,500.0,366.72,142.629,10.0,11.88
424,0.965402,7.3592,500.0,366.045,143.098,10.0,11.824
425,0.991107,5.8906,500.0,364.441,142.51,10.0,11.985
426,0.941357,7.0269,500.0,364.025,142.932,10.0,11.72
427,0.975528,5.8587,500.0,363.671,142.824,10.192,11.727
428,0.977555,6.8199,500.0,364.065,141.856,10.314,11.877
429,0.955665,6.3353,500.0,363.311,141.176,10.151,12.132
430,0.941093,5.8529,500.0,362.582,142.175,10.548,12.143
431,0.972711,5.8647,500.0,362.489,141.075,10.0,12.459
432,0.963882,6.1792,500.0,363.258,140.294,10.0,12.846
433,0.950497,5.7541,500.0,361.463,141.589,10.0,14.005
434,0.971337,6.8949,500.0,360.469,141.554,10.0,15.032
