fi,score_ax,score_cpu,d_score,cx_ax,cx_cpu,d_cx,cy_ax,cy_cpu,d_cy,dist,psr_ax,psr_cpu,score_max_ax,score_max_cpu
95,0.840107262134552,0.9502189755439758,-0.11011171340942383,459.357421875,310.1181640625,149.2392578125,24.557331085205078,158.33004760742188,-133.7727165222168,200.41830195408608,3.6649583167270485,15.353974167864033,0.8502498865127563,0.9517823457717896
96,0.82216477394104,0.9803582429885864,-0.1581934690475464,459.0950622558594,308.92828369140625,150.16677856445312,24.540611267089844,158.38807678222656,-133.84746551513672,201.15965154387004,3.7589997554793513,13.113308532561039,0.8423680067062378,0.9817281365394592
97,0.73601895570755,0.9553547501564026,-0.21933579444885254,459.5301208496094,308.4435119628906,151.08660888671875,26.12390899658203,155.945556640625,-129.82164764404297,199.20046079741473,3.610701486165068,14.388891355763155,0.73601895570755,0.9553547501564026
98,0.7917417883872986,0.914911150932312,-0.12316936254501343,459.04925537109375,309.479736328125,149.56951904296875,26.246505737304688,156.9799041748047,-130.7333984375,198.6511074566742,3.6918458790870643,14.473901064866768,0.7917417883872986,0.9172625541687012
99,0.798612117767334,0.8438761830329895,-0.04526406526565552,459.306396484375,309.3025817871094,150.00381469726562,25.3875789642334,158.82374572753906,-133.43616676330566,200.76442669012934,3.5167177286765496,14.641826346559922,0.8064633011817932,0.853847086429596
100,0.7857258319854736,0.8600190877914429,-0.07429325580596924,458.7038269042969,310.10064697265625,148.60317993164062,26.428359985351562,157.12078857421875,-130.6924285888672,197.89748855468508,3.653600485440078,15.638418132749917,0.7968086004257202,0.8600190877914429
101,0.7044987678527832,0.9403483867645264,-0.23584961891174316,460.7890319824219,311.9680480957031,148.82098388671875,27.33234405517578,152.80108642578125,-125.46874237060547,194.65377098086842,3.405855748207151,15.52509196169285,0.7044987678527832,0.9579369425773621
102,0.7231475710868835,0.9248892664909363,-0.20174169540405273,460.6015930175781,317.2422790527344,143.35931396484375,25.085599899291992,148.7025909423828,-123.61699104309082,189.296205389908,3.4936157916664183,16.229074632468116,0.731941282749176,0.9332466721534729
103,0.7561571002006531,0.9818421602249146,-0.22568506002426147,460.95098876953125,321.0971984863281,139.85379028320312,24.11482048034668,146.92007446289062,-122.80525398254395,186.11881436946476,3.301967760780648,13.92109991470403,0.7806291580200195,0.9818421602249146
104,0.7017096877098083,0.9646459221839905,-0.26293623447418213,463.55975341796875,320.710693359375,142.84906005859375,22.209619522094727,145.5229949951172,-123.31337547302246,188.71153258392647,3.494744352903706,14.873020324762253,0.7782614827156067,0.9646459221839905
105,0.8012169599533081,0.9768819212913513,-0.1756649613380432,467.7156677246094,321.5855712890625,146.13009643554688,21.11380958557129,141.42893981933594,-120.31513023376465,189.2874418640338,3.3481226963144035,14.448467087839598,0.8455973267555237,0.9768819212913513
106,0.7044755816459656,0.9579167366027832,-0.2534411549568176,469.746337890625,319.4527282714844,150.29360961914062,22.051166534423828,142.06463623046875,-120.01346969604492,192.3314898835709,3.5759956288067896,15.266416418068083,0.7044755816459656,0.9651763439178467
107,0.7174885869026184,0.9654517769813538,-0.24796319007873535,473.0285339355469,319.4789733886719,153.549560546875,23.70704460144043,136.64244079589844,-112.93539619445801,190.60921084181012,3.5770210668209694,13.617413267472086,0.7174885869026184,0.9778062701225281
108,0.7225013971328735,0.9741111397743225,-0.251609742641449,474.3084716796875,319.6849060058594,154.62356567382812,24.859302520751953,137.245361328125,-112.38605880737305,191.15196382967912,3.860315568085975,13.45682559035899,0.7367120981216431,0.983439028263092
109,0.7913673520088196,0.9830697774887085,-0.19170242547988892,474.11865234375,320.6629943847656,153.45565795898438,24.436246871948242,134.8873748779297,-110.45112800598145,189.07165476987421,3.7999711298214387,14.14573703405553,0.7913673520088196,0.9830697774887085
110,0.704806923866272,0.9643768668174744,-0.2595699429512024,476.6412353515625,320.9618225097656,155.67941284179688,26.31694793701172,133.14198303222656,-106.82503509521484,188.8058995525842,3.7284282849115007,16.276061839364974,0.704806923866272,0.9643768668174744
111,0.70054030418396,0.97135329246521,-0.27081298828125,476.02398681640625,322.0975341796875,153.92645263671875,27.243793487548828,131.05105590820312,-103.8072624206543,185.65909768334706,3.641040752357324,17.626867230840674,0.7075775861740112,0.97135329246521
112,0.7564454674720764,0.990351140499115,-0.23390567302703857,473.7393493652344,321.0238952636719,152.7154541015625,27.543949127197266,131.30934143066406,-103.7653923034668,184.63278842431754,3.7717023236286686,13.504010900597216,0.7826675176620483,0.990351140499115
